Geo Point,Geo Shape,Class,LicenceArea,Voltage,id,local_authority
"51.862961978083774, 0.4708385650195658","{""coordinates"": [[0.467533581028385, 51.863422454037725], [0.467739920951812, 51.86339291890584], [0.469220190644203, 51.863186551613055], [0.470859987935841, 51.862958946233086], [0.472488591003084, 51.862732776113134], [0.474143719512598, 51.86250271602364]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,694991287,Essex
"51.856757530049734, -0.4285796380636814","{""coordinates"": [[-0.429643719963424, 51.85677165239249], [-0.427515556163939, 51.85674340770697]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,695108780,Central Bedfordshire
"51.80390698999957, -0.7720064902539652","{""coordinates"": [[-0.77198025206774, 51.80393321489042], [-0.77203272844019, 51.803880765108715]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,697721896,Buckinghamshire
"51.70834394977442, 0.4896551758495678","{""coordinates"": [[0.489657146792233, 51.70834636321199], [0.489653204906903, 51.70834153633685]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,698924275,Essex
"51.70638931112355, 0.4906204589893486","{""coordinates"": [[0.489653204906903, 51.70834153633685], [0.489633901749231, 51.708317941901676], [0.490342203423115, 51.70693382551042], [0.490388321344469, 51.70692013132643], [0.490366448372237, 51.706891645061745], [0.491058099047862, 51.70554935458726], [0.491102799009643, 51.70553464693843], [0.491079327967397, 51.70550710302018], [0.491594589260747, 51.70442807218364]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,698924277,Essex
"51.706485197067785, 0.49065857730721546","{""coordinates"": [[0.491670837653377, 51.70464562534151], [0.491147499434258, 51.7055199482561], [0.491102799009643, 51.70553464693843], [0.491125962174761, 51.70556185562891], [0.490432507419933, 51.70690631618896], [0.490388337282765, 51.706920157968945], [0.490411236964707, 51.70694836165846], [0.48970244599664, 51.70833196721801], [0.489673707261097, 51.70834110191585]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,698924287,Essex
"51.70834373256392, 0.489665427026665","{""coordinates"": [[0.489673707261097, 51.70834110191585], [0.489657146792233, 51.70834636321199]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,698924289,Essex
"51.96903649022029, -0.4456856390470085","{""coordinates"": [[-0.455183985726474, 51.96978538103973], [-0.45427976299076, 51.96968354766236], [-0.452610191821215, 51.96948039130101], [-0.451058650516577, 51.96927013280811], [-0.449516775296819, 51.96903732079259], [-0.447874542622583, 51.968994734367925], [-0.446455124928978, 51.968957894485655], [-0.444997515106035, 51.96892012746422], [-0.443506091731851, 51.968879421802704], [-0.44208741722202, 51.96887048520733], [-0.440325513494875, 51.96880134489614], [-0.438726080908721, 51.96873855413888], [-0.437151942065841, 51.968730945158164], [-0.436155748441083, 51.968707503959465]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,699678376,Central Bedfordshire
"51.57021645566499, 0.7337130615423292","{""coordinates"": [[0.733672987894416, 51.57039791627299], [0.733753135190242, 51.570034995056986]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,703660184,Essex
"51.57541186650686, 0.7278461918586621","{""coordinates"": [[0.728993140090709, 51.574717760611186], [0.726699243626615, 51.57610597240252]], ""type"": ""LineString""}",EHV 33kV Overhead Line,EPN,33kV,704425935,Essex
